Local time,Symbol,Ask,Bid,AskVolume,BidVolume
20.11.2019 22:39:57.511,Gas,570.28,569.38,0.0001,0.0001
20.11.2019 22:40:04.456,Gas,570.16,569.26,0.0005,0.0001
20.11.2019 22:40:04.964,Gas,570.159,569.259,0.0001,0.0001
20.11.2019 22:40:26.020,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 22:40:32.595,Gas,570.159,569.259,0.0002,0.0001
20.11.2019 22:40:38.037,Gas,570.03,569.13,0.0002,0.0001
20.11.2019 22:40:38.656,Gas,570.159,569.259,0.0003,0.0003
20.11.2019 22:40:44.673,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 22:40:46.909,Gas,570.03,569.13,0.0002,0.0001
20.11.2019 22:40:47.628,Gas,570.029,569.129,0.0003,0.0003
20.11.2019 22:40:55.342,Gas,570.03,569.13,0.0002,0.0003
20.11.2019 22:40:58.762,Gas,570.16,569.26,0.0003,0.0002
20.11.2019 22:41:21.377,Gas,570.159,569.259,0.0002,0.0001
20.11.2019 22:41:30.203,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 22:41:32.257,Gas,570.03,569.13,0.0002,0.0001
20.11.2019 22:41:35.941,Gas,570.159,569.259,0.0004,0.0003
20.11.2019 22:41:41.004,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 22:41:54.944,Gas,570.159,569.259,0.0003,0.0001
20.11.2019 22:42:36.124,Gas,570.16,569.26,0.0004,0.0001
20.11.2019 22:42:36.911,Gas,570.159,569.259,0.0003,0.0001
20.11.2019 22:43:17.235,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 22:43:50.327,Gas,570.159,569.259,0.0003,0.0001
20.11.2019 22:43:51.917,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 22:44:12.692,Gas,570.029,569.129,0.0002,0.0001
20.11.2019 22:44:15.627,Gas,570.03,569.13,0.0003,0.0004
20.11.2019 22:44:24.146,Gas,570.159,569.259,0.0003,0.0003
20.11.2019 22:44:26.385,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 22:44:45.525,Gas,570.159,569.259,0.0001,0.0001
20.11.2019 22:44:48.564,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 22:45:13.010,Gas,570.159,569.259,0.0001,0.0001
20.11.2019 22:45:18.243,Gas,570.16,569.26,0.0001,0.0001
